voted_for,age_group,education,race,religion
Biden,30-44,Post-grad,White,None
Biden,65+,Some college,White,Protestant
Biden,30-44,4-year,White,None
Biden,30-44,Post-grad,White,Agnostic
Trump,65+,4-year,Multiracial,None
Biden,45-65,High school graduate,Black,None
Biden,65+,Post-grad,White,Atheist
Biden,65+,4-year,White,Roman Catholic
Biden,65+,Post-grad,White,Roman Catholic
Biden,65+,4-year,Black,Other
Biden,45-65,Post-grad,White,Atheist
Biden,45-65,4-year,Black,Protestant
Trump,45-65,2-year,Middle Eastern,None
Biden,45-65,Post-grad,White,Atheist
Trump,30-44,Post-grad,Hispanic,Protestant
Trump,30-44,2-year,White,Protestant
Biden,30-44,Some college,Black,Protestant
Trump,30-44,Post-grad,White,Roman Catholic
Trump,65+,High school graduate,White,None
Biden,45-65,4-year,White,Atheist
Trump,30-44,Post-grad,White,Jewish
Trump,65+,4-year,White,Protestant
Biden,45-65,4-year,White,None
Biden,30-44,Post-grad,Black,Agnostic
Biden,45-65,Post-grad,White,Atheist
Biden,45-65,4-year,White,Jewish
Trump,65+,Some college,White,Protestant
Biden,30-44,4-year,White,None
Biden,30-44,4-year,White,Agnostic
Biden,65+,No HS,White,None
Trump,30-44,High school graduate,White,Jewish
Trump,45-65,2-year,White,Protestant
Biden,45-65,4-year,White,None
Biden,45-65,High school graduate,White,Protestant
Biden,45-65,4-year,White,Atheist
Biden,45-65,4-year,Native American,Protestant
Trump,45-65,High school graduate,White,Protestant
Biden,30-44,2-year,Hispanic,None
Trump,45-65,2-year,White,Other
Trump,45-65,4-year,Hispanic,Protestant
Trump,65+,Some college,Middle Eastern,Protestant
Trump,65+,Some college,White,Other
Trump,45-65,Some college,White,Other
Trump,65+,2-year,White,Roman Catholic
Trump,65+,Some college,White,Protestant
Biden,30-44,High school graduate,White,Other
Biden,18-29,4-year,White,Jewish
Biden,45-65,Post-grad,White,Jewish
Biden,30-44,4-year,Black,Protestant
Trump,45-65,Some college,White,Roman Catholic
Trump,18-29,2-year,White,Roman Catholic
Trump,65+,4-year,White,Protestant
Biden,30-44,Some college,White,Agnostic
Biden,65+,High school graduate,Black,Protestant
Biden,45-65,4-year,White,Agnostic
Trump,65+,High school graduate,White,Other
Trump,45-65,High school graduate,White,Protestant
Biden,30-44,High school graduate,Middle Eastern,Atheist
Biden,45-65,Post-grad,White,None
Trump,65+,Some college,White,Protestant
Biden,65+,Some college,Black,Protestant
Trump,30-44,2-year,White,Protestant
Trump,45-65,Some college,White,None
Biden,45-65,2-year,White,Atheist
Biden,45-65,2-year,White,None
Trump,45-65,Post-grad,White,Protestant
Biden,65+,High school graduate,White,None
Trump,45-65,2-year,White,Agnostic
Trump,45-65,2-year,White,Protestant
Trump,45-65,High school graduate,White,Protestant
Biden,45-65,2-year,White,Atheist
Biden,65+,2-year,Hispanic,Other
Biden,65+,2-year,White,Agnostic
Trump,45-65,2-year,Multiracial,Protestant
Biden,65+,Some college,Middle Eastern,None
Biden,45-65,4-year,White,Other
Biden,45-65,Some college,White,Agnostic
Biden,30-44,4-year,White,None
Trump,30-44,No HS,White,Other
Biden,18-29,Post-grad,White,Protestant
Biden,30-44,2-year,White,Other
Biden,45-65,4-year,White,Other
Biden,65+,High school graduate,White,Roman Catholic
Trump,45-65,4-year,White,Protestant
Biden,65+,Some college,White,Agnostic
Biden,65+,High school graduate,White,Roman Catholic
Biden,45-65,Some college,White,Roman Catholic
Trump,45-65,Some college,White,Roman Catholic
Biden,45-65,Post-grad,Black,None
Biden,18-29,Some college,Black,Protestant
Trump,45-65,Post-grad,White,Protestant
Biden,45-65,2-year,White,Other
Biden,18-29,Post-grad,Black,Protestant
Trump,65+,Some college,White,Protestant
Biden,18-29,Post-grad,Asian,Atheist
Biden,45-65,2-year,White,Agnostic
Trump,18-29,4-year,White,Roman Catholic
Trump,65+,2-year,White,Protestant
Biden,18-29,Some college,White,Atheist
Biden,65+,High school graduate,White,Protestant
Trump,45-65,High school graduate,White,Protestant
Biden,65+,2-year,Hispanic,Roman Catholic
Trump,65+,Post-grad,White,None
Biden,18-29,2-year,White,Roman Catholic
Biden,45-65,Post-grad,Multiracial,None
Trump,65+,Some college,White,Protestant
Biden,65+,Some college,Black,Protestant
Trump,45-65,Post-grad,Multiracial,None
Biden,18-29,High school graduate,Black,Protestant
Biden,65+,2-year,White,None
Biden,65+,Post-grad,White,Atheist
Trump,45-65,Some college,Hispanic,Roman Catholic
Biden,45-65,Some college,White,Protestant
